id;"""building""";"""addr_stree""";"""addr_hou_1""";число_жителей
746;apartments;улица Борисовка 1-й квартал;15;33
747;apartments;улица Борисовка 1-й квартал;23;26
748;apartments;улица Борисовка 1-й квартал;49;33
749;apartments;улица Борисовка 1-й квартал;14;26
750;apartments;улица Борисовка 1-й квартал;44;9
751;apartments;улица Борисовка 1-й квартал;18;12
752;apartments;улица Борисовка 1-й квартал;46;25
753;apartments;улица Борисовка 1-й квартал;58;37
754;apartments;улица Борисовка 1-й квартал;5;28
755;apartments;улица Борисовка 1-й квартал;45;11
756;apartments;улица Борисовка 1-й квартал;19;22
757;apartments;улица Борисовка 1-й квартал;48;37
758;apartments;улица Борисовка 1-й квартал;60;14
759;apartments;улица Борисовка 1-й квартал;25;37
760;apartments;улица Борисовка 1-й квартал;59;16
761;apartments;улица Борисовка 1-й квартал;17;10
762;apartments;улица Борисовка 1-й квартал;22;14
763;apartments;улица Борисовка 1-й квартал;21;28
764;apartments;улица Борисовка 1-й квартал;51;13
765;apartments;улица Борисовка 1-й квартал;30;22
766;apartments;улица Борисовка 1-й квартал;33;30
767;apartments;улица Борисовка 1-й квартал;16;20
768;apartments;улица Борисовка 1-й квартал;24;35
769;apartments;улица Борисовка 1-й квартал;20;30
770;apartments;улица Борисовка 1-й квартал;57;29
771;apartments;улица Борисовка 1-й квартал;61;23
772;apartments;улица Борисовка 1-й квартал;27;10
773;apartments;улица Борисовка 1-й квартал;57;37
774;apartments;улица Борисовка 1-й квартал;29;25
775;apartments;улица Борисовка 1-й квартал;41/1;15
776;apartments;улица Борисовка 1-й квартал;54;15
777;apartments;улица Борисовка 1-й квартал;28;9
778;apartments;улица Борисовка 1-й квартал;36;10
779;apartments;улица Борисовка 1-й квартал;56;36
780;apartments;улица Борисовка 1-й квартал;26;22
781;apartments;улица Борисовка 1-й квартал;13;18
782;yes;улица Борисовка 1-й квартал;41/2;19
783;yes;улица Борисовка 1-й квартал;41 к1А;16
784;yes;улица Борисовка 1-й квартал;1А;17
785;yes;улица Борисовка 3-й квартал;3В;36
786;yes;улица Борисовка 3-й квартал;4А;15
787;yes;улица Борисовка 3-й квартал;7А;32
788;residential;улица Борисовка 3-й квартал;1В;10
789;yes;улица Борисовка 3-й квартал;5А;26
790;residential;улица Борисовка 3-й квартал;5В;12
791;yes;улица Борисовка 3-й квартал;3А;26
792;residential;улица Борисовка 3-й квартал;1Б;27
793;yes;улица Борисовка 3-й квартал;2А;14
794;residential;улица Борисовка 3-й квартал;4В;11
795;residential;улица Борисовка 3-й квартал;2В;13
796;yes;улица Борисовка 3-й квартал;1А;31
797;yes;улица Борисовка 3-й квартал;6А;19
798;residential;улица Борисовка 3-й квартал;1Д;31
799;yes;улица Борисовка 3-й квартал;8А;30
800;yes;улица Борисовка 3-й квартал;7К;18
801;yes;улица Борисовка 3-й квартал;5К;31
802;yes;улица Борисовка 3-й квартал;9К;36
803;residential;улица Борисовка 3-й квартал;2Б;17
804;residential;улица Борисовка 3-й квартал;3Б;29
805;residential;улица Борисовка 3-й квартал;4Б;21
806;residential;улица Борисовка 3-й квартал;2Д;17
807;residential;улица Борисовка 3-й квартал;3Д;9
808;house;улица Винокурова;4;24
809;house;улица Винокурова;10;37
810;house;улица Винокурова;20Б;10
811;house;улица Винокурова;12;33
812;house;улица Винокурова;20А;26
813;house;улица Винокурова;2;15
814;house;улица Винокурова;44946;12
815;house;улица Винокурова;8;18
816;house;улица Винокурова;14;16
817;house;улица Винокурова;16;24
818;house;улица Винокурова;20;12
819;house;улица Винокурова;6;19
820;house;улица Винокурова;9;23
821;house;улица Винокурова;11;17
822;house;улица Винокурова;7;21
823;house;улица Винокурова;3;17
824;house;улица Винокурова;5;27
825;house;улица Винокурова;1;35
826;house;улица Винокурова;15;36
827;apartments;улица Винокурова;21;10
828;residential;улица Винокурова;25;14
829;house;улица Винокурова;13;32
830;house;улица Винокурова;17;19
831;yes;улица Винокурова;24;34
832;yes;улица Винокурова;44950;31
833;yes;улица Винокурова;34;34
834;yes;улица Винокурова;31;22
835;house;улица Винокурова;51;19
836;yes;улица Винокурова;36;18
837;house;улица Винокурова;39/4;15
838;yes;улица Винокурова;33;29
839;house;улица Винокурова;53;16
840;house;улица Винокурова;49;10
841;house;улица Винокурова;22;29
842;house;улица Винокурова;41/2;12
843;yes;улица Винокурова;35/3;37
844;residential;улица Винокурова;37;15
845;yes;улица Винокурова;38;32
846;house;улица Винокурова;39/5;19
847;house;улица Винокурова;45;12
848;yes;улица Винокурова;30;13
849;yes;улица Винокурова;32/1;34
850;yes;улица Винокурова;44985;36
851;yes;улица Винокурова;29;19
852;yes;улица Винокурова;33/2;18
853;yes;улица Винокурова;44956;32
854;house;улица Винокурова;53/1;20
855;yes;улица Винокурова;37/1;33
856;yes;улица Винокурова;44984;37
857;house;улица Винокурова;47;26
858;yes;улица Винокурова;37/2;32
859;house;улица Винокурова;41/5;9
860;house;улица Винокурова;41/1;21
861;house;улица Винокурова;39/1;24
862;house;улица Винокурова;44;34
863;house;улица Винокурова;43;21
864;yes;улица Винокурова;26;10
865;yes;улица Винокурова;42;15
866;house;улица Винокурова;39/3;13
867;house;улица Винокурова;41;16
868;house;улица Винокурова;55/1;20
869;house;улица Винокурова;63/1;30
870;house;улица Винокурова;65;10
871;house;улица Винокурова;67;34
872;house;улица Винокурова;59;26
873;house;улица Винокурова;71;26
874;house;улица Винокурова;69/1;24
875;house;улица Винокурова;63;18
876;house;улица Винокурова;57;17
877;house;улица Винокурова;61;32
878;house;улица Винокурова;76;9
879;house;улица Винокурова;79/1;37
880;house;улица Винокурова;91;37
881;house;улица Винокурова;83/2;35
882;house;улица Винокурова;85;24
883;house;улица Винокурова;79А;21
884;house;улица Винокурова;89;29
885;house;улица Винокурова;79/3;35
886;house;улица Винокурова;81А;33
887;house;улица Винокурова;77;26
888;house;улица Винокурова;75/5;12
889;house;улица Винокурова;89/2;9
890;house;улица Винокурова;78;13
891;house;улица Винокурова;75;20
892;house;улица Винокурова;79/7;13
893;house;улица Винокурова;79/4;34
894;house;улица Винокурова;82;15
895;house;улица Винокурова;83;10
896;house;улица Винокурова;83/1;33
897;yes;улица Винокурова;97;20
898;house;улица Винокурова;81;10
899;house;улица Винокурова;82/1;10
900;house;улица Винокурова;83/1а;31
901;house;улица Винокурова;89/3;21
902;house;улица Винокурова;95/3;28
903;yes;улица Винокурова;97/1;23
904;house;улица Винокурова;75/1;16
905;house;улица Винокурова;75/7;35
906;house;улица Винокурова;79;23
907;house;улица Винокурова;55;18
908;yes;улица Винокурова;55/1А;33
909;yes;улица Винокурова;32;29
910;yes;улица Винокурова;40;23
911;house;улица Винокурова;42/1;21
912;yes;улица Винокурова;35/4;29
913;yes;улица Гоголя;1;26
914;yes;улица Гоголя;6;23
915;apartments;улица Гоголя;52;15
916;yes;улица Гоголя;62А;19
917;yes;улица Гоголя;44932;13
918;house;улица Каландаришвили;35;16
919;yes;улица Каландаришвили;29;14
920;yes;улица Каландаришвили;31;35
921;house;улица Каландаришвили;41;15
922;yes;улица Каландаришвили;45А;35
923;house;улица Каландаришвили;37;14
924;yes;улица Каландаришвили;45Б;29
925;yes;улица Каландаришвили;31 к1;14
926;house;улица Каландаришвили;39;36
927;yes;улица Каландаришвили;45;31
928;house;улица Каландаришвили;33;24
929;yes;улица Каландаришвили;29;11
930;apartments;улица Каландаришвили;43;17
931;yes;улица Каландаришвили;31/2;28
932;yes;улица Каландаришвили;35/1;33
933;yes;улица Кеши Алексеева;6;22
934;apartments;улица Кеши Алексеева;14;30
935;apartments;улица Кеши Алексеева;8;14
936;residential;улица Кеши Алексеева;13;22
937;apartments;улица Кеши Алексеева;44936;18
938;apartments;улица Кеши Алексеева;4;24
939;residential;улица Кеши Алексеева;11;36
940;apartments;улица Кеши Алексеева;3;9
941;residential;улица Кеши Алексеева;9;10
942;residential;улица Кеши Алексеева;45029;19
943;apartments;улица Кеши Алексеева;10;10
944;yes;улица Кеши Алексеева;44931;35
945;apartments;улица Кеши Алексеева;6;32
946;apartments;улица Кеши Алексеева;1;13
947;residential;улица Кеши Алексеева;44998;36
948;apartments;улица Кеши Алексеева;12;30
949;apartments;улица Кеши Алексеева;2;9
950;apartments;улица Кеши Алексеева;44934;24
951;residential;улица Кеши Алексеева;44939;15
952;residential;улица Кеши Алексеева;44970;15
953;apartments;улица Кеши Алексеева;5;34
954;apartments;улица Кеши Алексеева;44963;21
955;yes;улица Кеши Алексеева;44929;34
956;yes;улица Кеши Алексеева;9В;31
957;yes;улица Кеши Алексеева;3 к1;24
958;house;улица Кочнева;53;31
959;yes;улица Кочнева;28;22
960;apartments;улица Кочнева;40;28
961;house;улица Кочнева;57;15
962;house;улица Кочнева;55;21
963;yes;улица Кочнева;30;37
964;yes;улица Кочнева;5;35
965;house;улица Кочнева;20;28
966;house;улица Кочнева;77;24
967;yes;улица Кочнева;37;18
968;house;улица Кочнева;79;20
969;house;улица Кочнева;86;16
970;house;улица Кочнева;29;20
971;house;улица Кочнева;71;18
972;house;улица Кочнева;64;24
973;house;улица Кочнева;84;15
974;yes;улица Кочнева;12;15
975;yes;улица Кочнева;36;15
976;house;улица Кочнева;22;16
977;house;улица Кочнева;51;28
978;house;улица Кочнева;59;24
979;house;улица Кочнева;46;25
980;yes;улица Кочнева;33;30
981;yes;улица Кочнева;10;20
982;house;улица Кочнева;66;18
983;yes;улица Кочнева;7;35
984;house;улица Кочнева;24;34
985;yes;улица Кочнева;34;21
986;house;улица Кочнева;48;18
987;house;улица Кочнева;23;32
988;house;улица Кочнева;49;11
989;house;улица Кочнева;81;16
990;yes;улица Кочнева;32;13
991;house;улица Кочнева;76;15
992;house;улица Кочнева;31;27
993;yes;улица Кочнева;2;28
994;house;улица Кочнева;68;14
995;house;улица Кочнева;74;28
996;yes;улица Кочнева;41;18
997;yes;улица Кочнева;9;21
998;house;улица Кочнева;63;32
999;house;улица Кочнева;70;25
1000;house;улица Кочнева;54;28
1001;house;улица Кочнева;69;22
1002;yes;улица Кочнева;35;9
1003;house;улица Кочнева;14;9
1004;house;улица Кочнева;78;3
1005;house;улица Кочнева;52;22
1006;yes;улица Кочнева;4;28
1007;apartments;улица Кочнева;43;5
1008;house;улица Кочнева;56;27
1009;house;улица Кочнева;21;14
1010;house;улица Кочнева;80;1
1011;apartments;улица Кочнева;47;18
1012;yes;улица Кочнева;15;29
1013;house;улица Кочнева;67;27
1014;apartments;улица Кочнева;38;5
1015;yes;улица Кочнева;11;6
1016;house;улица Кочнева;65;7
1017;house;улица Кочнева;19;19
1018;yes;улица Кочнева;6;1
1019;yes;улица Кочнева;13;5
1020;yes;улица Кочнева;26;0
1021;house;улица Кочнева;60;5
1022;house;улица Кочнева;18;28
1023;yes;улица Кочнева;39;15
1024;house;улица Кочнева;73;13
1025;yes;улица Кочнева;8;14
1026;house;улица Кочнева;58;11
1027;yes;улица Кочнева;1;28
1028;house;улица Кочнева;16;16
1029;yes;улица Кочнева;17;28
1030;house;улица Кочнева;75;14
1031;house;улица Кочнева;82;17
1032;house;улица Кочнева;62;29
1033;yes;улица Кочнева;3;8
1034;house;улица Кочнева;94;22
1035;house;улица Кочнева;81/1;12
1036;house;улица Кочнева;72;28
1037;house;улица Кочнева;90;21
1038;house;улица Кочнева;42;5
1039;house;улица Кочнева;44;3
1040;house;улица Кочнева;50;16
1041;house;улица Кочнева;25;27
1042;house;улица Кочнева;27;24
1043;house;улица Кулачикова-Элляя;9;6
1044;house;улица Кулачикова-Элляя;14;25
1045;yes;улица Кулачикова-Элляя;28;9
1046;yes;улица Кулачикова-Элляя;5;15
1047;house;улица Кулачикова-Элляя;7;18
1048;house;улица Кулачикова-Элляя;21;10
1049;yes;улица Кулачикова-Элляя;44939;20
1050;yes;улица Кулачикова-Элляя;11;6
1051;house;улица Кулачикова-Элляя;26;23
1052;yes;улица Кулачикова-Элляя;29;16
1053;house;улица Кулачикова-Элляя;16;5
1054;yes;улица Кулачикова-Элляя;44947;7
1055;yes;улица Кулачикова-Элляя;13;14
1056;yes;улица Кулачикова-Элляя;24;5
1057;house;улица Кулачикова-Элляя;44942;20
1058;house;улица Кулачикова-Элляя;12;22
1059;house;улица Кулачикова-Элляя;44974;19
1060;house;улица Кулачикова-Элляя;22;9
1061;house;улица Кулачикова-Элляя;10;26
1062;house;улица Кулачикова-Элляя;44944;6
1063;house;улица Кулачикова-Элляя;17;16
1064;yes;улица Кулачикова-Элляя;27;12
1065;yes;улица Кулачикова-Элляя;15;20
1066;house;улица Кулачикова-Элляя;19;29
1067;house;улица Кулачикова-Элляя;24;20
1068;house;улица Кулачикова-Элляя;18;0
1069;yes;улица Кулачикова-Элляя;34;10
1070;apartments;улица Лермонтова;156/1;28
1071;apartments;улица Лермонтова;90/1;20
1072;yes;улица Лермонтова;134/1;14
1073;apartments;улица Лермонтова;90/4;2
1074;yes;улица Лермонтова;140/2;19
1075;apartments;улица Лермонтова;158;25
1076;apartments;улица Лермонтова;166/2;6
1077;apartments;улица Лермонтова;152/1;1
1078;apartments;улица Лермонтова;172/1;11
1079;apartments;улица Лермонтова;138/2;12
1080;yes;улица Лермонтова;136/1;7
1081;yes;улица Лермонтова;140/1;22
1082;apartments;улица Лермонтова;138/3;29
1083;yes;улица Лермонтова;126;22
1084;yes;улица Лермонтова;140/3;13
1085;apartments;улица Лермонтова;94/1;0
1086;apartments;улица Лермонтова;148;5
1087;apartments;улица Лермонтова;138/5;17
1088;apartments;улица Лермонтова;172;28
1089;apartments;улица Лермонтова;176;30
1090;yes;улица Лермонтова;136;26
1091;apartments;улица Лермонтова;160;2
1092;apartments;улица Лермонтова;156;9
1093;apartments;улица Лермонтова;154/1;25
1094;apartments;улица Лермонтова;92/2;13
1095;yes;улица Лермонтова;178/1;14
1096;apartments;улица Лермонтова;90/2;8
1097;apartments;улица Лермонтова;170/1;10
1098;yes;улица Лермонтова;94Б;29
1099;apartments;улица Лермонтова;174;8
1100;yes;улица Лермонтова;138/1;2
1101;apartments;улица Лермонтова;90/3;24
1102;apartments;улица Лермонтова;178;10
1103;apartments;улица Лермонтова;168/2;13
1104;apartments;улица Лермонтова;154/2;29
1105;apartments;улица Лермонтова;142;24
1106;apartments;улица Лермонтова;166/1;15
1107;yes;улица Лермонтова;138;25
1108;apartments;улица Лермонтова;168/1;13
1109;apartments;улица Лермонтова;158/1;5
1110;apartments;улица Лермонтова;146;19
1111;apartments;улица Лермонтова;154;15
1112;apartments;улица Лермонтова;150;28
1113;apartments;улица Лермонтова;144;8
1114;yes;улица Лермонтова;134;10
1115;apartments;улица Лермонтова;168;11
1116;yes;улица Лермонтова;140;28
1117;apartments;улица Лермонтова;170;21
1118;apartments;улица Лермонтова;162;9
1119;apartments;улица Лермонтова;138/4;14
1120;apartments;улица Лермонтова;162/1;12
1121;apartments;улица Лермонтова;150/1;4
1122;apartments;улица Лермонтова;156/3;19
1123;apartments;улица Лермонтова;156/2;24
1124;yes;улица Лермонтова;162/2;0
1125;residential;улица Лермонтова;122;14
1126;yes;улица Лермонтова;200А;6
1127;yes;улица Лермонтова;90/2А;15
1128;yes;улица Лермонтова;92/1;9
1129;apartments;улица Лермонтова;90;3
1130;apartments;улица Лермонтова;96;5
1131;apartments;улица Лермонтова;98;4
1132;apartments;улица Лермонтова;100;1
1133;apartments;улица Лермонтова;98/1;24
1134;apartments;улица Лермонтова;94;23
1135;apartments;улица Лермонтова;94/2;24
1136;apartments;улица Лермонтова;94/3;7
1137;yes;улица Лермонтова;90А;26
1138;yes;улица Лермонтова;90 к2В;17
1139;apartments;улица Лермонтова;96/1;13
1140;apartments;улица Лермонтова;152;12
1141;yes;улица Лермонтова;92;6
1142;apartments;улица Лермонтова;102;26
1143;yes;улица Лермонтова;138/3а;18
1144;residential;улица Лермонтова;125;13
1145;residential;улица Лермонтова;123;29
1146;residential;улица Лермонтова;;8
1147;yes;улица Лермонтова;124;28
1148;apartments;улица Лермонтова;152А;21
1149;yes;улица Лермонтова;200;5
1150;apartments;улица Лермонтова;121А;10
1151;apartments;улица Лермонтова;100/2;22
1152;yes;улица Лермонтова;90/2 Д;22
1153;yes;улица Лонгинова;44957;8
1154;yes;улица Лонгинова;45010;6
1155;yes;улица Лонгинова;44982;1
1156;apartments;улица Лонгинова;31;22
1157;apartments;улица Лонгинова;38/1;9
1158;yes;улица Лонгинова;44949;20
1159;yes;улица Лонгинова;45016;13
1160;apartments;улица Лонгинова;38;20
1161;yes;улица Лонгинова;25;23
1162;yes;улица Лонгинова;45014;11
1163;yes;улица Лонгинова;27;18
1164;yes;улица Лонгинова;21;8
1165;yes;улица Лонгинова;29/2;30
1166;apartments;улица Лонгинова;29;20
1167;yes;улица Лонгинова;44953;14
1168;yes;улица Лонгинова;40/2;25
1169;yes;улица Лонгинова;23;24
1170;yes;улица Лонгинова;44951;20
1171;house;улица Лонгинова;15;20
1172;house;улица Лонгинова;17;25
1173;house;улица Лонгинова;11;22
1174;house;улица Лонгинова;43/2;11
1175;yes;улица Лонгинова;83;18
1176;house;улица Лонгинова;58;28
1177;yes;улица Лонгинова;69;11
1178;house;улица Лонгинова;41/2;15
1179;house;улица Лонгинова;44;26
1180;house;улица Лонгинова;54;8
1181;house;улица Лонгинова;49;24
1182;house;улица Лонгинова;49/1;16
1183;house;улица Лонгинова;37/1;1
1184;house;улица Лонгинова;60;28
1185;house;улица Лонгинова;51;3
1186;house;улица Лонгинова;55/1;23
1187;house;улица Лонгинова;46/1;1
1188;house;улица Лонгинова;56;3
1189;house;улица Лонгинова;55;18
1190;house;улица Лонгинова;51/1;9
1191;house;улица Лонгинова;37;30
1192;yes;улица Лонгинова;62;4
1193;house;улица Лонгинова;46/2;16
1194;house;улица Лонгинова;41;6
1195;yes;улица Лонгинова;63;21
1196;yes;улица Лонгинова;59;14
1197;house;улица Лонгинова;45;19
1198;house;улица Лонгинова;47;15
1199;yes;улица Лонгинова;71;23
1200;house;улица Лонгинова;41А;10
1201;house;улица Лонгинова;35/6А;24
1202;house;улица Лонгинова;50;3
1203;house;улица Лонгинова;45/1;7
1204;house;улица Лонгинова;35/2;17
1205;residential;улица Лонгинова;48;26
1206;house;улица Лонгинова;53/1;28
1207;house;улица Лонгинова;52;12
1208;house;улица Лонгинова;47/1;6
1209;house;улица Лонгинова;35/3А;11
1210;house;улица Лонгинова;53;17
1211;yes;улица Лонгинова;65;6
1212;house;улица Лонгинова;43/1;28
1213;house;улица Лонгинова;51/2;28
1214;yes;улица Лонгинова;66/1;19
1215;yes;улица Лонгинова;67;29
1216;house;улица Лонгинова;43;17
1217;yes;улица Лонгинова;79;27
1218;yes;улица Лонгинова;70/2;28
1219;yes;улица Лонгинова;72/1;29
1220;residential;улица Лонгинова;42/6;7
1221;yes;улица Лонгинова;40/5;12
1222;yes;улица Лонгинова;44/3А;6
1223;residential;улица Лонгинова;42/2;13
1224;yes;улица Лонгинова;72;22
1225;residential;улица Лонгинова;42/5;13
1226;house;улица Лонгинова;19;3
1227;yes;улица Лонгинова;36/2;7
1228;residential;улица Лонгинова;28;29
1229;house;улица Лонгинова;48/1;9
1230;apartments;улица Лонгинова;32;27
1231;apartments;улица Лонгинова;32/4;1
1232;yes;улица Лонгинова;82;12
1233;yes;улица Лонгинова;70/1;4
1234;yes;улица Лонгинова;84;5
1235;yes;улица Лонгинова;36/1;29
1236;yes;улица Лонгинова;27В;6
1237;yes;улица Лонгинова;29А;15
1238;yes;улица Лонгинова;76/1;19
1239;house;улица Лонгинова;62;4
1240;yes;улица Лонгинова;72/2;23
1241;yes;улица Лонгинова;25 к2;1
1242;yes;улица Лонгинова;36;14
1243;yes;улица Лонгинова;68;5
1244;residential;улица Лонгинова;46;10
1245;residential;улица Лонгинова;42/3;6
1246;residential;улица Лонгинова;42/1;25
1247;yes;улица Лонгинова;74;26
1248;apartments;улица Лонгинова;34;19
1249;residential;улица Лонгинова;32/3;17
1250;residential;улица Лонгинова;42/4;8
1251;yes;улица Лонгинова;40/5;19
1252;yes;улица Лонгинова;70/1а;19
1253;yes;улица Лонгинова;32/2;19
1254;yes;улица Лонгинова;40/4;13
1255;yes;улица Лонгинова;32/1;26
1256;yes;улица Лонгинова;25 к1;12
1257;yes;улица Лонгинова;80;29
1258;yes;улица Лонгинова;52/1;23
1259;yes;улица Лонгинова;18;0
1260;yes;улица Лонгинова;20;26
1261;yes;улица Лонгинова;45254;30
1262;yes;улица Лонгинова;7;18
1263;yes;улица Лонгинова;3;22
1264;yes;улица Лонгинова;5;18
1265;yes;улица Лонгинова;6;7
1266;yes;улица Лонгинова;8;11
1267;yes;улица Лонгинова;9;25
1268;yes;улица Лонгинова;44960;14
1269;house;улица Лонгинова;12;20
1270;house;улица Лонгинова;10;5
1271;yes;улица Лонгинова;1;24
1272;yes;улица Лонгинова;4;16
1273;yes;улица Лонгинова;90/1;7
1274;yes;улица Лонгинова;88А;15
1275;yes;улица Лонгинова;33/1А;25
1276;yes;улица Лонгинова;61;13
1277;yes;улица Лонгинова;27А;4
1278;house;улица Лонгинова;44981;1
1279;house;улица Лонгинова;16;8
1280;yes;улица Лонгинова;85;26
1281;house;улица Лонгинова;88;2
1282;yes;улица Макаренко;10;21
1283;house;улица Макаренко;3;2
1284;house;улица Макаренко;1;3
1285;yes;улица Макаренко;6;19
1286;yes;улица Макаренко;8;18
1287;house;улица Макаренко;7;3
1288;house;улица Макаренко;5;8
1289;yes;улица Макаренко;2;2
1290;yes;улица Макаренко;4;5
1291;apartments;улица Маяковского;98;1
1292;yes;улица Маяковского;77;1
1293;apartments;улица Маяковского;102;22
1294;yes;улица Маяковского;79;18
1295;apartments;улица Маяковского;85;18
1296;residential;улица Маяковского;89/1;20
1297;yes;улица Маяковского;108В;3
1298;apartments;улица Маяковского;104;27
1299;yes;улица Маяковского;81;19
1300;apartments;улица Маяковского;108;13
1301;apartments;улица Маяковского;85/1;16
1302;apartments;улица Маяковского;87/2;4
1303;yes;улица Маяковского;108/1;14
1304;yes;улица Маяковского;77/2;23
1305;apartments;улица Маяковского;96;28
1306;apartments;улица Маяковского;87/1;3
1307;yes;улица Маяковского;79/1;2
1308;residential;улица Маяковского;75;10
1309;apartments;улица Маяковского;104/1;18
1310;residential;улица Маяковского;89;17
1311;yes;улица Маяковского;77/1;16
1312;apartments;улица Маяковского;87;20
1313;house;улица Маяковского;90;17
1314;house;улица Маяковского;86;21
1315;house;улица Маяковского;92;6
1316;apartments;улица Маяковского;102/1;14
1317;house;улица Маяковского;88;25
1318;yes;улица Маяковского;76;17
1319;house;улица Маяковского;72;9
1320;yes;улица Маяковского;70;30
1321;house;улица Маяковского;54;13
1322;house;улица Маяковского;58;27
1323;house;улица Маяковского;56;19
1324;house;улица Маяковского;46;2
1325;house;улица Маяковского;42;25
1326;yes;улица Маяковского;52;8
1327;yes;улица Маяковского;50;18
1328;yes;улица Маяковского;84;13
1329;house;улица Маяковского;24;15
1330;house;улица Маяковского;22;13
1331;house;улица Маяковского;20;23
1332;house;улица Маяковского;74;23
1333;house;улица Маяковского;44;20
1334;house;улица Маяковского;48;12
1335;apartments;улица Маяковского;114;23
1336;apartments;улица Маяковского;112;30
1337;apartments;улица Маяковского;110/2;18
1338;apartments;улица Маяковского;110/1;10
1339;apartments;улица Петровского;44955;13
1340;apartments;улица Петровского;44984;27
1341;apartments;улица Петровского;44953;2
1342;apartments;улица Петровского;29/2;27
1343;apartments;улица Петровского;44951;11
1344;apartments;улица Петровского;44982;14
1345;apartments;улица Петровского;45045;17
1346;yes;улица Притузова;3;21
1347;house;улица Притузова;34;30
1348;residential;улица Притузова;4;21
1349;yes;улица Притузова;44936;18
1350;yes;улица Притузова;16;22
1351;house;улица Притузова;54/1;0
1352;yes;улица Притузова;5;29
1353;house;улица Притузова;53;6
1354;house;улица Притузова;50А;2
1355;house;улица Притузова;27;24
1356;house;улица Притузова;45/1;4
1357;house;улица Притузова;47;27
1358;house;улица Притузова;40/1;7
1359;yes;улица Притузова;13;11
1360;house;улица Притузова;31;6
1361;yes;улица Притузова;24;7
1362;apartments;улица Притузова;37;12
1363;apartments;улица Притузова;42;18
1364;house;улица Притузова;49;28
1365;yes;улица Притузова;22;22
1366;house;улица Притузова;29;15
1367;yes;улица Притузова;44938;15
1368;yes;улица Притузова;19;19
1369;yes;улица Притузова;26;17
1370;yes;улица Притузова;44951;10
1371;yes;улица Притузова;7;14
1372;yes;улица Притузова;28;5
1373;house;улица Притузова;33;29
1374;apartments;улица Притузова;46;6
1375;residential;улица Притузова;8;11
1376;yes;улица Притузова;9;23
1377;apartments;улица Притузова;44;16
1378;house;улица Притузова;45;30
1379;house;улица Притузова;38;30
1380;yes;улица Притузова;44934;11
1381;yes;улица Притузова;11;14
1382;house;улица Притузова;40;20
1383;house;улица Притузова;39;11
1384;yes;улица Притузова;44932;28
1385;yes;улица Притузова;1;7
1386;house;улица Притузова;32;20
1387;house;улица Притузова;41;2
1388;house;улица Притузова;25;29
1389;yes;улица Притузова;18;18
1390;house;улица Притузова;23;10
1391;residential;улица Притузова;6;13
1392;house;улица Притузова;51;1
1393;yes;улица Притузова;14;0
1394;yes;улица Притузова;20;15
1395;house;улица Притузова;35;4
1396;house;улица Притузова;46/1;7
1397;house;улица Притузова;36;9
1398;yes;улица Притузова;15;14
1399;yes;улица Притузова;17;12
1400;yes;улица Софронова;71/1;16
1401;house;улица Софронова;88;20
1402;house;улица Софронова;82;9
1403;house;улица Софронова;84;19
1404;house;улица Софронова;86;13
1405;house;улица Софронова;80;11
1406;yes;улица Софронова;71;15
1407;house;улица Софронова;58;25
1408;house;улица Софронова;54;4
1409;yes;улица Софронова;53;3
1410;yes;улица Софронова;49;15
1411;house;улица Софронова;48;19
1412;house;улица Софронова;44;15
1413;house;улица Софронова;67;11
1414;house;улица Софронова;50;9
1415;house;улица Софронова;56;25
1416;house;улица Софронова;63;24
1417;house;улица Софронова;52;26
1418;yes;улица Софронова;47;6
1419;apartments;улица Софронова;69;9
1420;house;улица Софронова;56А;30
1421;house;улица Софронова;68;16
1422;yes;улица Софронова;51;0
1423;yes;улица Софронова;74;7
1424;house;улица Софронова;60;7
1425;house;улица Софронова;72;16
1426;house;улица Софронова;65;30
1427;house;улица Софронова;61;8
1428;house;улица Софронова;62;30
1429;house;улица Софронова;70;15
1430;house;улица Софронова;59;5
1431;house;улица Софронова;33;23
1432;yes;улица Софронова;8;15
1433;house;улица Софронова;29;27
1434;yes;улица Софронова;7;1
1435;yes;улица Софронова;9;26
1436;house;улица Софронова;27;2
1437;yes;улица Софронова;39;10
1438;house;улица Софронова;21;8
1439;yes;улица Софронова;37;27
1440;yes;улица Софронова;17;4
1441;yes;улица Софронова;15;29
1442;yes;улица Софронова;11;0
1443;house;улица Софронова;19;15
1444;yes;улица Софронова;42;29
1445;yes;улица Софронова;13;18
1446;house;улица Софронова;45;25
1447;yes;улица Софронова;1;18
1448;house;улица Софронова;46;9
1449;yes;улица Софронова;35;9
1450;house;улица Софронова;23;26
1451;yes;улица Софронова;25;5
1452;house;улица Софронова;75;29
1453;house;улица Софронова;73;6
1454;yes;улица Софронова;2;21
1455;yes;улица Софронова;4;27
1456;public;улица Софронова;24;23
1457;house;улица Софронова;5;4
1458;house;улица Софронова;39/1;0
1459;house;улица Софронова;41;0
1460;house;улица Софронова;43;7
1461;house;улица Софронова;55;13
1462;house;улица Софронова;57;30
1463;house;улица Софронова;77;0
1464;house;улица Софронова;40;14
1465;house;улица Софронова;64;19
1466;house;улица Софронова;66;7
1467;house;улица Софронова;76;14
1468;house;улица Софронова;78;27
1469;house;улица Софронова;90;19
1470;yes;улица Тараса Шевченко;2А;4
1471;apartments;улица Три Сосны;13;4
1472;yes;улица Уустаах Избекова;45026;22
1473;yes;улица Чайковского;32/1;30
