id;"""building""";"""addr_stree""";"""addr_hou_1""";официальное_число_жителей;фактическое_число_жителей;выгода
751;apartments;улица Борисовка 1-й квартал;18;3;12;9000
752;apartments;улица Борисовка 1-й квартал;46;22;25;3000
753;apartments;улица Борисовка 1-й квартал;58;26;37;11000
754;apartments;улица Борисовка 1-й квартал;5;26;28;2000
755;apartments;улица Борисовка 1-й квартал;45;18;11;-7000
756;apartments;улица Борисовка 1-й квартал;19;22;22;0
757;apartments;улица Борисовка 1-й квартал;48;2;37;35000
758;apartments;улица Борисовка 1-й квартал;60;26;14;-12000
759;apartments;улица Борисовка 1-й квартал;25;25;37;12000
760;apartments;улица Борисовка 1-й квартал;59;11;16;5000
761;apartments;улица Борисовка 1-й квартал;17;21;10;-11000
762;apartments;улица Борисовка 1-й квартал;22;10;14;4000
763;apartments;улица Борисовка 1-й квартал;21;2;28;26000
764;apartments;улица Борисовка 1-й квартал;51;22;13;-9000
765;apartments;улица Борисовка 1-й квартал;30;15;22;7000
766;apartments;улица Борисовка 1-й квартал;33;13;30;17000
767;apartments;улица Борисовка 1-й квартал;16;25;20;-5000
768;apartments;улица Борисовка 1-й квартал;24;14;35;21000
769;apartments;улица Борисовка 1-й квартал;20;0;30;30000
770;apartments;улица Борисовка 1-й квартал;57;22;29;7000
771;apartments;улица Борисовка 1-й квартал;61;6;23;17000
772;apartments;улица Борисовка 1-й квартал;27;25;10;-15000
773;apartments;улица Борисовка 1-й квартал;57;8;37;29000
774;apartments;улица Борисовка 1-й квартал;29;6;25;19000
775;apartments;улица Борисовка 1-й квартал;41/1;25;15;-10000
776;apartments;улица Борисовка 1-й квартал;54;11;15;4000
777;apartments;улица Борисовка 1-й квартал;28;29;9;-20000
778;apartments;улица Борисовка 1-й квартал;36;13;10;-3000
779;apartments;улица Борисовка 1-й квартал;56;20;36;16000
780;apartments;улица Борисовка 1-й квартал;26;0;22;22000
781;apartments;улица Борисовка 1-й квартал;13;12;18;6000
782;yes;улица Борисовка 1-й квартал;41/2;6;19;13000
783;yes;улица Борисовка 1-й квартал;41 к1А;14;16;2000
784;yes;улица Борисовка 1-й квартал;1А;15;17;2000
785;yes;улица Борисовка 3-й квартал;3В;24;36;12000
786;yes;улица Борисовка 3-й квартал;4А;12;15;3000
787;yes;улица Борисовка 3-й квартал;7А;24;32;8000
788;residential;улица Борисовка 3-й квартал;1В;27;10;-17000
789;yes;улица Борисовка 3-й квартал;5А;18;26;8000
790;residential;улица Борисовка 3-й квартал;5В;21;12;-9000
791;yes;улица Борисовка 3-й квартал;3А;21;26;5000
792;residential;улица Борисовка 3-й квартал;1Б;4;27;23000
793;yes;улица Борисовка 3-й квартал;2А;0;14;14000
794;residential;улица Борисовка 3-й квартал;4В;11;11;0
795;residential;улица Борисовка 3-й квартал;2В;1;13;12000
796;yes;улица Борисовка 3-й квартал;1А;1;31;30000
797;yes;улица Борисовка 3-й квартал;6А;27;19;-8000
798;residential;улица Борисовка 3-й квартал;1Д;28;31;3000
799;yes;улица Борисовка 3-й квартал;8А;6;30;24000
800;yes;улица Борисовка 3-й квартал;7К;18;18;0
801;yes;улица Борисовка 3-й квартал;5К;28;31;3000
802;yes;улица Борисовка 3-й квартал;9К;19;36;17000
803;residential;улица Борисовка 3-й квартал;2Б;25;17;-8000
804;residential;улица Борисовка 3-й квартал;3Б;12;29;17000
805;residential;улица Борисовка 3-й квартал;4Б;25;21;-4000
806;residential;улица Борисовка 3-й квартал;2Д;4;17;13000
807;residential;улица Борисовка 3-й квартал;3Д;1;9;8000
808;house;улица Винокурова;4;24;24;0
809;house;улица Винокурова;10;21;37;16000
810;house;улица Винокурова;20Б;21;10;-11000
811;house;улица Винокурова;12;0;33;33000
812;house;улица Винокурова;20А;6;26;20000
813;house;улица Винокурова;2;5;15;10000
814;house;улица Винокурова;44946;14;12;-2000
815;house;улица Винокурова;8;0;18;18000
816;house;улица Винокурова;14;24;16;-8000
817;house;улица Винокурова;16;7;24;17000
818;house;улица Винокурова;20;26;12;-14000
819;house;улица Винокурова;6;27;19;-8000
820;house;улица Винокурова;9;5;23;18000
821;house;улица Винокурова;11;14;17;3000
822;house;улица Винокурова;7;9;21;12000
823;house;улица Винокурова;3;25;17;-8000
824;house;улица Винокурова;5;26;27;1000
825;house;улица Винокурова;1;23;35;12000
826;house;улица Винокурова;15;11;36;25000
827;apartments;улица Винокурова;21;8;10;2000
828;residential;улица Винокурова;25;7;14;7000
829;house;улица Винокурова;13;6;32;26000
830;house;улица Винокурова;17;25;19;-6000
831;yes;улица Винокурова;24;27;34;7000
832;yes;улица Винокурова;44950;29;31;2000
833;yes;улица Винокурова;34;10;34;24000
834;yes;улица Винокурова;31;6;22;16000
835;house;улица Винокурова;51;23;19;-4000
836;yes;улица Винокурова;36;3;18;15000
837;house;улица Винокурова;39/4;17;15;-2000
838;yes;улица Винокурова;33;20;29;9000
839;house;улица Винокурова;53;7;16;9000
840;house;улица Винокурова;49;3;10;7000
841;house;улица Винокурова;22;19;29;10000
842;house;улица Винокурова;41/2;22;12;-10000
843;yes;улица Винокурова;35/3;16;37;21000
844;residential;улица Винокурова;37;0;15;15000
845;yes;улица Винокурова;38;20;32;12000
846;house;улица Винокурова;39/5;7;19;12000
847;house;улица Винокурова;45;13;12;-1000
848;yes;улица Винокурова;30;3;13;10000
849;yes;улица Винокурова;32/1;18;34;16000
850;yes;улица Винокурова;44985;16;36;20000
851;yes;улица Винокурова;29;17;19;2000
852;yes;улица Винокурова;33/2;27;18;-9000
853;yes;улица Винокурова;44956;6;32;26000
854;house;улица Винокурова;53/1;25;20;-5000
855;yes;улица Винокурова;37/1;30;33;3000
856;yes;улица Винокурова;44984;27;37;10000
857;house;улица Винокурова;47;3;26;23000
858;yes;улица Винокурова;37/2;26;32;6000
859;house;улица Винокурова;41/5;7;9;2000
860;house;улица Винокурова;41/1;16;21;5000
861;house;улица Винокурова;39/1;11;24;13000
862;house;улица Винокурова;44;26;34;8000
863;house;улица Винокурова;43;8;21;13000
864;yes;улица Винокурова;26;1;10;9000
865;yes;улица Винокурова;42;9;15;6000
866;house;улица Винокурова;39/3;8;13;5000
867;house;улица Винокурова;41;20;16;-4000
868;house;улица Винокурова;55/1;11;20;9000
869;house;улица Винокурова;63/1;11;30;19000
870;house;улица Винокурова;65;15;10;-5000
871;house;улица Винокурова;67;25;34;9000
872;house;улица Винокурова;59;10;26;16000
873;house;улица Винокурова;71;7;26;19000
874;house;улица Винокурова;69/1;19;24;5000
875;house;улица Винокурова;63;19;18;-1000
876;house;улица Винокурова;57;9;17;8000
877;house;улица Винокурова;61;22;32;10000
878;house;улица Винокурова;76;15;9;-6000
879;house;улица Винокурова;79/1;14;37;23000
880;house;улица Винокурова;91;4;37;33000
881;house;улица Винокурова;83/2;20;35;15000
882;house;улица Винокурова;85;9;24;15000
883;house;улица Винокурова;79А;5;21;16000
884;house;улица Винокурова;89;2;29;27000
885;house;улица Винокурова;79/3;29;35;6000
886;house;улица Винокурова;81А;8;33;25000
887;house;улица Винокурова;77;17;26;9000
888;house;улица Винокурова;75/5;19;12;-7000
889;house;улица Винокурова;89/2;0;9;9000
890;house;улица Винокурова;78;2;13;11000
891;house;улица Винокурова;75;15;20;5000
892;house;улица Винокурова;79/7;26;13;-13000
893;house;улица Винокурова;79/4;11;34;23000
894;house;улица Винокурова;82;5;15;10000
895;house;улица Винокурова;83;22;10;-12000
896;house;улица Винокурова;83/1;18;33;15000
897;yes;улица Винокурова;97;7;20;13000
898;house;улица Винокурова;81;15;10;-5000
899;house;улица Винокурова;82/1;0;10;10000
900;house;улица Винокурова;83/1а;5;31;26000
901;house;улица Винокурова;89/3;13;21;8000
902;house;улица Винокурова;95/3;1;28;27000
903;yes;улица Винокурова;97/1;20;23;3000
904;house;улица Винокурова;75/1;6;16;10000
905;house;улица Винокурова;75/7;20;35;15000
906;house;улица Винокурова;79;28;23;-5000
907;house;улица Винокурова;55;1;18;17000
908;yes;улица Винокурова;55/1А;30;33;3000
909;yes;улица Винокурова;32;19;29;10000
910;yes;улица Винокурова;40;21;23;2000
911;house;улица Винокурова;42/1;19;21;2000
912;yes;улица Винокурова;35/4;10;29;19000
913;yes;улица Гоголя;1;26;26;0
914;yes;улица Гоголя;6;29;23;-6000
915;apartments;улица Гоголя;52;13;15;2000
916;yes;улица Гоголя;62А;1;19;18000
917;yes;улица Гоголя;44932;8;13;5000
918;house;улица Каландаришвили;35;28;16;-12000
919;yes;улица Каландаришвили;29;24;14;-10000
920;yes;улица Каландаришвили;31;19;35;16000
921;house;улица Каландаришвили;41;24;15;-9000
922;yes;улица Каландаришвили;45А;20;35;15000
923;house;улица Каландаришвили;37;9;14;5000
924;yes;улица Каландаришвили;45Б;15;29;14000
925;yes;улица Каландаришвили;31 к1;13;14;1000
926;house;улица Каландаришвили;39;28;36;8000
927;yes;улица Каландаришвили;45;10;31;21000
928;house;улица Каландаришвили;33;21;24;3000
929;yes;улица Каландаришвили;29;20;11;-9000
930;apartments;улица Каландаришвили;43;15;17;2000
931;yes;улица Каландаришвили;31/2;11;28;17000
932;yes;улица Каландаришвили;35/1;29;33;4000
933;yes;улица Кеши Алексеева;6;24;22;-2000
934;apartments;улица Кеши Алексеева;14;2;30;28000
935;apartments;улица Кеши Алексеева;8;12;14;2000
936;residential;улица Кеши Алексеева;13;15;22;7000
937;apartments;улица Кеши Алексеева;44936;1;18;17000
938;apartments;улица Кеши Алексеева;4;21;24;3000
939;residential;улица Кеши Алексеева;11;10;36;26000
940;apartments;улица Кеши Алексеева;3;25;9;-16000
941;residential;улица Кеши Алексеева;9;11;10;-1000
942;residential;улица Кеши Алексеева;45029;12;19;7000
943;apartments;улица Кеши Алексеева;10;7;10;3000
944;yes;улица Кеши Алексеева;44931;4;35;31000
945;apartments;улица Кеши Алексеева;6;11;32;21000
946;apartments;улица Кеши Алексеева;1;7;13;6000
947;residential;улица Кеши Алексеева;44998;12;36;24000
948;apartments;улица Кеши Алексеева;12;23;30;7000
949;apartments;улица Кеши Алексеева;2;21;9;-12000
950;apartments;улица Кеши Алексеева;44934;8;24;16000
951;residential;улица Кеши Алексеева;44939;28;15;-13000
952;residential;улица Кеши Алексеева;44970;27;15;-12000
953;apartments;улица Кеши Алексеева;5;4;34;30000
954;apartments;улица Кеши Алексеева;44963;2;21;19000
955;yes;улица Кеши Алексеева;44929;29;34;5000
956;yes;улица Кеши Алексеева;9В;14;31;17000
957;yes;улица Кеши Алексеева;3 к1;14;24;10000
958;house;улица Кочнева;53;14;31;17000
959;yes;улица Кочнева;28;26;22;-4000
960;apartments;улица Кочнева;40;23;28;5000
961;house;улица Кочнева;57;14;15;1000
962;house;улица Кочнева;55;30;21;-9000
963;yes;улица Кочнева;30;13;37;24000
964;yes;улица Кочнева;5;21;35;14000
965;house;улица Кочнева;20;18;28;10000
966;house;улица Кочнева;77;28;24;-4000
967;yes;улица Кочнева;37;13;18;5000
968;house;улица Кочнева;79;0;20;20000
969;house;улица Кочнева;86;14;16;2000
970;house;улица Кочнева;29;9;20;11000
971;house;улица Кочнева;71;11;18;7000
972;house;улица Кочнева;64;27;24;-3000
973;house;улица Кочнева;84;26;15;-11000
974;yes;улица Кочнева;12;4;15;11000
975;yes;улица Кочнева;36;30;15;-15000
976;house;улица Кочнева;22;5;16;11000
977;house;улица Кочнева;51;23;28;5000
978;house;улица Кочнева;59;13;24;11000
979;house;улица Кочнева;46;1;25;24000
980;yes;улица Кочнева;33;19;30;11000
981;yes;улица Кочнева;10;15;20;5000
982;house;улица Кочнева;66;11;18;7000
983;yes;улица Кочнева;7;18;35;17000
984;house;улица Кочнева;24;28;34;6000
985;yes;улица Кочнева;34;12;21;9000
986;house;улица Кочнева;48;4;18;14000
987;house;улица Кочнева;23;5;32;27000
988;house;улица Кочнева;49;19;11;-8000
989;house;улица Кочнева;81;20;16;-4000
990;yes;улица Кочнева;32;22;13;-9000
991;house;улица Кочнева;76;8;15;7000
992;house;улица Кочнева;31;19;27;8000
993;yes;улица Кочнева;2;17;28;11000
994;house;улица Кочнева;68;20;14;-6000
995;house;улица Кочнева;74;15;28;13000
996;yes;улица Кочнева;41;15;18;3000
997;yes;улица Кочнева;9;15;21;6000
998;house;улица Кочнева;63;3;32;29000
999;house;улица Кочнева;70;20;25;5000
1000;house;улица Кочнева;54;27;28;1000
1001;house;улица Кочнева;69;22;22;0
1002;yes;улица Кочнева;35;9;9;0
1003;house;улица Кочнева;14;9;9;0
1004;house;улица Кочнева;78;3;3;0
1005;house;улица Кочнева;52;22;22;0
1006;yes;улица Кочнева;4;28;28;0
1007;apartments;улица Кочнева;43;5;5;0
1008;house;улица Кочнева;56;27;27;0
1009;house;улица Кочнева;21;14;14;0
1010;house;улица Кочнева;80;1;1;0
1011;apartments;улица Кочнева;47;18;18;0
1012;yes;улица Кочнева;15;29;29;0
1013;house;улица Кочнева;67;27;27;0
1014;apartments;улица Кочнева;38;5;5;0
1015;yes;улица Кочнева;11;6;6;0
1016;house;улица Кочнева;65;7;7;0
1017;house;улица Кочнева;19;19;19;0
1018;yes;улица Кочнева;6;1;1;0
1019;yes;улица Кочнева;13;5;5;0
1020;yes;улица Кочнева;26;0;0;0
1021;house;улица Кочнева;60;5;5;0
1022;house;улица Кочнева;18;28;28;0
1023;yes;улица Кочнева;39;15;15;0
1024;house;улица Кочнева;73;13;13;0
1025;yes;улица Кочнева;8;14;14;0
1026;house;улица Кочнева;58;11;11;0
1027;yes;улица Кочнева;1;28;28;0
1028;house;улица Кочнева;16;16;16;0
1029;yes;улица Кочнева;17;28;28;0
1030;house;улица Кочнева;75;14;14;0
1031;house;улица Кочнева;82;17;17;0
1032;house;улица Кочнева;62;29;29;0
1033;yes;улица Кочнева;3;8;8;0
1034;house;улица Кочнева;94;22;22;0
1035;house;улица Кочнева;81/1;12;12;0
1036;house;улица Кочнева;72;28;28;0
1037;house;улица Кочнева;90;21;21;0
1038;house;улица Кочнева;42;5;5;0
1039;house;улица Кочнева;44;3;3;0
1040;house;улица Кочнева;50;16;16;0
1041;house;улица Кочнева;25;27;27;0
1042;house;улица Кочнева;27;24;24;0
1043;house;улица Кулачикова-Элляя;9;6;6;0
1044;house;улица Кулачикова-Элляя;14;25;25;0
1045;yes;улица Кулачикова-Элляя;28;9;9;0
1046;yes;улица Кулачикова-Элляя;5;15;15;0
1047;house;улица Кулачикова-Элляя;7;18;18;0
1048;house;улица Кулачикова-Элляя;21;10;10;0
1049;yes;улица Кулачикова-Элляя;44939;20;20;0
1050;yes;улица Кулачикова-Элляя;11;6;6;0
1051;house;улица Кулачикова-Элляя;26;23;23;0
1052;yes;улица Кулачикова-Элляя;29;16;16;0
1053;house;улица Кулачикова-Элляя;16;5;5;0
1054;yes;улица Кулачикова-Элляя;44947;7;7;0
1055;yes;улица Кулачикова-Элляя;13;14;14;0
1056;yes;улица Кулачикова-Элляя;24;5;5;0
1057;house;улица Кулачикова-Элляя;44942;20;20;0
1058;house;улица Кулачикова-Элляя;12;22;22;0
1059;house;улица Кулачикова-Элляя;44974;19;19;0
1060;house;улица Кулачикова-Элляя;22;9;9;0
1061;house;улица Кулачикова-Элляя;10;26;26;0
1062;house;улица Кулачикова-Элляя;44944;6;6;0
1063;house;улица Кулачикова-Элляя;17;16;16;0
1064;yes;улица Кулачикова-Элляя;27;12;12;0
1065;yes;улица Кулачикова-Элляя;15;20;20;0
1066;house;улица Кулачикова-Элляя;19;29;29;0
1067;house;улица Кулачикова-Элляя;24;20;20;0
1068;house;улица Кулачикова-Элляя;18;0;0;0
1069;yes;улица Кулачикова-Элляя;34;10;10;0
1070;apartments;улица Лермонтова;156/1;28;28;0
1071;apartments;улица Лермонтова;90/1;20;20;0
1072;yes;улица Лермонтова;134/1;14;14;0
1073;apartments;улица Лермонтова;90/4;2;2;0
1074;yes;улица Лермонтова;140/2;19;19;0
1075;apartments;улица Лермонтова;158;25;25;0
1076;apartments;улица Лермонтова;166/2;6;6;0
1077;apartments;улица Лермонтова;152/1;1;1;0
1078;apartments;улица Лермонтова;172/1;11;11;0
1079;apartments;улица Лермонтова;138/2;12;12;0
1080;yes;улица Лермонтова;136/1;7;7;0
1081;yes;улица Лермонтова;140/1;22;22;0
1082;apartments;улица Лермонтова;138/3;29;29;0
1083;yes;улица Лермонтова;126;22;22;0
1084;yes;улица Лермонтова;140/3;13;13;0
1085;apartments;улица Лермонтова;94/1;0;0;0
1086;apartments;улица Лермонтова;148;5;5;0
1087;apartments;улица Лермонтова;138/5;17;17;0
1088;apartments;улица Лермонтова;172;28;28;0
1089;apartments;улица Лермонтова;176;30;30;0
1090;yes;улица Лермонтова;136;26;26;0
1091;apartments;улица Лермонтова;160;2;2;0
1092;apartments;улица Лермонтова;156;9;9;0
1093;apartments;улица Лермонтова;154/1;25;25;0
1094;apartments;улица Лермонтова;92/2;13;13;0
1095;yes;улица Лермонтова;178/1;14;14;0
1096;apartments;улица Лермонтова;90/2;8;8;0
1097;apartments;улица Лермонтова;170/1;10;10;0
1098;yes;улица Лермонтова;94Б;29;29;0
1099;apartments;улица Лермонтова;174;8;8;0
1100;yes;улица Лермонтова;138/1;2;2;0
1101;apartments;улица Лермонтова;90/3;24;24;0
1102;apartments;улица Лермонтова;178;10;10;0
1103;apartments;улица Лермонтова;168/2;13;13;0
1104;apartments;улица Лермонтова;154/2;29;29;0
1105;apartments;улица Лермонтова;142;24;24;0
1106;apartments;улица Лермонтова;166/1;15;15;0
1107;yes;улица Лермонтова;138;25;25;0
1108;apartments;улица Лермонтова;168/1;13;13;0
1109;apartments;улица Лермонтова;158/1;5;5;0
1110;apartments;улица Лермонтова;146;19;19;0
1111;apartments;улица Лермонтова;154;15;15;0
1112;apartments;улица Лермонтова;150;28;28;0
1113;apartments;улица Лермонтова;144;8;8;0
1114;yes;улица Лермонтова;134;10;10;0
1115;apartments;улица Лермонтова;168;11;11;0
1116;yes;улица Лермонтова;140;28;28;0
1117;apartments;улица Лермонтова;170;21;21;0
1118;apartments;улица Лермонтова;162;9;9;0
1119;apartments;улица Лермонтова;138/4;14;14;0
1120;apartments;улица Лермонтова;162/1;12;12;0
1121;apartments;улица Лермонтова;150/1;4;4;0
1122;apartments;улица Лермонтова;156/3;19;19;0
1123;apartments;улица Лермонтова;156/2;24;24;0
1124;yes;улица Лермонтова;162/2;0;0;0
1125;residential;улица Лермонтова;122;14;14;0
1126;yes;улица Лермонтова;200А;6;6;0
1127;yes;улица Лермонтова;90/2А;15;15;0
1128;yes;улица Лермонтова;92/1;9;9;0
1129;apartments;улица Лермонтова;90;3;3;0
1130;apartments;улица Лермонтова;96;5;5;0
1131;apartments;улица Лермонтова;98;4;4;0
1132;apartments;улица Лермонтова;100;1;1;0
1133;apartments;улица Лермонтова;98/1;24;24;0
1134;apartments;улица Лермонтова;94;23;23;0
1135;apartments;улица Лермонтова;94/2;24;24;0
1136;apartments;улица Лермонтова;94/3;7;7;0
1137;yes;улица Лермонтова;90А;26;26;0
1138;yes;улица Лермонтова;90 к2В;17;17;0
1139;apartments;улица Лермонтова;96/1;13;13;0
1140;apartments;улица Лермонтова;152;12;12;0
1141;yes;улица Лермонтова;92;6;6;0
1142;apartments;улица Лермонтова;102;26;26;0
1143;yes;улица Лермонтова;138/3а;18;18;0
1144;residential;улица Лермонтова;125;13;13;0
1145;residential;улица Лермонтова;123;29;29;0
1146;residential;улица Лермонтова;;8;8;0
1147;yes;улица Лермонтова;124;28;28;0
1148;apartments;улица Лермонтова;152А;21;21;0
1149;yes;улица Лермонтова;200;5;5;0
1150;apartments;улица Лермонтова;121А;10;10;0
1151;apartments;улица Лермонтова;100/2;22;22;0
1152;yes;улица Лермонтова;90/2 Д;22;22;0
1153;yes;улица Лонгинова;44957;8;8;0
1154;yes;улица Лонгинова;45010;6;6;0
1155;yes;улица Лонгинова;44982;1;1;0
1156;apartments;улица Лонгинова;31;22;22;0
1157;apartments;улица Лонгинова;38/1;9;9;0
1158;yes;улица Лонгинова;44949;20;20;0
1159;yes;улица Лонгинова;45016;13;13;0
1160;apartments;улица Лонгинова;38;20;20;0
1161;yes;улица Лонгинова;25;23;23;0
1162;yes;улица Лонгинова;45014;11;11;0
1163;yes;улица Лонгинова;27;18;18;0
1164;yes;улица Лонгинова;21;8;8;0
1165;yes;улица Лонгинова;29/2;30;30;0
1166;apartments;улица Лонгинова;29;20;20;0
1167;yes;улица Лонгинова;44953;14;14;0
1168;yes;улица Лонгинова;40/2;25;25;0
1169;yes;улица Лонгинова;23;24;24;0
1170;yes;улица Лонгинова;44951;20;20;0
1171;house;улица Лонгинова;15;20;20;0
1172;house;улица Лонгинова;17;25;25;0
1173;house;улица Лонгинова;11;22;22;0
1174;house;улица Лонгинова;43/2;11;11;0
1175;yes;улица Лонгинова;83;18;18;0
1176;house;улица Лонгинова;58;28;28;0
1177;yes;улица Лонгинова;69;11;11;0
1178;house;улица Лонгинова;41/2;15;15;0
1179;house;улица Лонгинова;44;26;26;0
1180;house;улица Лонгинова;54;8;8;0
1181;house;улица Лонгинова;49;24;24;0
1182;house;улица Лонгинова;49/1;16;16;0
1183;house;улица Лонгинова;37/1;1;1;0
1184;house;улица Лонгинова;60;28;28;0
1185;house;улица Лонгинова;51;3;3;0
1186;house;улица Лонгинова;55/1;23;23;0
1187;house;улица Лонгинова;46/1;1;1;0
1188;house;улица Лонгинова;56;3;3;0
1189;house;улица Лонгинова;55;18;18;0
1190;house;улица Лонгинова;51/1;9;9;0
1191;house;улица Лонгинова;37;30;30;0
1192;yes;улица Лонгинова;62;4;4;0
1193;house;улица Лонгинова;46/2;16;16;0
1194;house;улица Лонгинова;41;6;6;0
1195;yes;улица Лонгинова;63;21;21;0
1196;yes;улица Лонгинова;59;14;14;0
1197;house;улица Лонгинова;45;19;19;0
1198;house;улица Лонгинова;47;15;15;0
1199;yes;улица Лонгинова;71;23;23;0
1200;house;улица Лонгинова;41А;10;10;0
1201;house;улица Лонгинова;35/6А;24;24;0
1202;house;улица Лонгинова;50;3;3;0
1203;house;улица Лонгинова;45/1;7;7;0
1204;house;улица Лонгинова;35/2;17;17;0
1205;residential;улица Лонгинова;48;26;26;0
1206;house;улица Лонгинова;53/1;28;28;0
1207;house;улица Лонгинова;52;12;12;0
1208;house;улица Лонгинова;47/1;6;6;0
1209;house;улица Лонгинова;35/3А;11;11;0
1210;house;улица Лонгинова;53;17;17;0
1211;yes;улица Лонгинова;65;6;6;0
1212;house;улица Лонгинова;43/1;28;28;0
1213;house;улица Лонгинова;51/2;28;28;0
1214;yes;улица Лонгинова;66/1;19;19;0
1215;yes;улица Лонгинова;67;29;29;0
1216;house;улица Лонгинова;43;17;17;0
1217;yes;улица Лонгинова;79;27;27;0
1218;yes;улица Лонгинова;70/2;28;28;0
1219;yes;улица Лонгинова;72/1;29;29;0
1220;residential;улица Лонгинова;42/6;7;7;0
1221;yes;улица Лонгинова;40/5;12;12;0
1222;yes;улица Лонгинова;44/3А;6;6;0
1223;residential;улица Лонгинова;42/2;13;13;0
1224;yes;улица Лонгинова;72;22;22;0
1225;residential;улица Лонгинова;42/5;13;13;0
1226;house;улица Лонгинова;19;3;3;0
1227;yes;улица Лонгинова;36/2;7;7;0
1228;residential;улица Лонгинова;28;29;29;0
1229;house;улица Лонгинова;48/1;9;9;0
1230;apartments;улица Лонгинова;32;27;27;0
1231;apartments;улица Лонгинова;32/4;1;1;0
1232;yes;улица Лонгинова;82;12;12;0
1233;yes;улица Лонгинова;70/1;4;4;0
1234;yes;улица Лонгинова;84;5;5;0
1235;yes;улица Лонгинова;36/1;29;29;0
1236;yes;улица Лонгинова;27В;6;6;0
1237;yes;улица Лонгинова;29А;15;15;0
1238;yes;улица Лонгинова;76/1;19;19;0
1239;house;улица Лонгинова;62;4;4;0
1240;yes;улица Лонгинова;72/2;23;23;0
1241;yes;улица Лонгинова;25 к2;1;1;0
1242;yes;улица Лонгинова;36;14;14;0
1243;yes;улица Лонгинова;68;5;5;0
1244;residential;улица Лонгинова;46;10;10;0
1245;residential;улица Лонгинова;42/3;6;6;0
1246;residential;улица Лонгинова;42/1;25;25;0
1247;yes;улица Лонгинова;74;26;26;0
1248;apartments;улица Лонгинова;34;19;19;0
1249;residential;улица Лонгинова;32/3;17;17;0
1250;residential;улица Лонгинова;42/4;8;8;0
1251;yes;улица Лонгинова;40/5;19;19;0
1252;yes;улица Лонгинова;70/1а;19;19;0
1253;yes;улица Лонгинова;32/2;19;19;0
1254;yes;улица Лонгинова;40/4;13;13;0
1255;yes;улица Лонгинова;32/1;26;26;0
1256;yes;улица Лонгинова;25 к1;12;12;0
1257;yes;улица Лонгинова;80;29;29;0
1258;yes;улица Лонгинова;52/1;23;23;0
1259;yes;улица Лонгинова;18;0;0;0
1260;yes;улица Лонгинова;20;26;26;0
1261;yes;улица Лонгинова;45254;30;30;0
1262;yes;улица Лонгинова;7;18;18;0
1263;yes;улица Лонгинова;3;22;22;0
1264;yes;улица Лонгинова;5;18;18;0
1265;yes;улица Лонгинова;6;7;7;0
1266;yes;улица Лонгинова;8;11;11;0
1267;yes;улица Лонгинова;9;25;25;0
1268;yes;улица Лонгинова;44960;14;14;0
1269;house;улица Лонгинова;12;20;20;0
1270;house;улица Лонгинова;10;5;5;0
1271;yes;улица Лонгинова;1;24;24;0
1272;yes;улица Лонгинова;4;16;16;0
1273;yes;улица Лонгинова;90/1;7;7;0
1274;yes;улица Лонгинова;88А;15;15;0
1275;yes;улица Лонгинова;33/1А;25;25;0
1276;yes;улица Лонгинова;61;13;13;0
1277;yes;улица Лонгинова;27А;4;4;0
1278;house;улица Лонгинова;44981;1;1;0
1279;house;улица Лонгинова;16;8;8;0
1280;yes;улица Лонгинова;85;26;26;0
1281;house;улица Лонгинова;88;2;2;0
1282;yes;улица Макаренко;10;21;21;0
1283;house;улица Макаренко;3;2;2;0
1284;house;улица Макаренко;1;3;3;0
1285;yes;улица Макаренко;6;19;19;0
1286;yes;улица Макаренко;8;18;18;0
1287;house;улица Макаренко;7;3;3;0
1288;house;улица Макаренко;5;8;8;0
1289;yes;улица Макаренко;2;2;2;0
1290;yes;улица Макаренко;4;5;5;0
1291;apartments;улица Маяковского;98;1;1;0
1292;yes;улица Маяковского;77;1;1;0
1293;apartments;улица Маяковского;102;22;22;0
1294;yes;улица Маяковского;79;18;18;0
1295;apartments;улица Маяковского;85;18;18;0
1296;residential;улица Маяковского;89/1;20;20;0
1297;yes;улица Маяковского;108В;3;3;0
1298;apartments;улица Маяковского;104;27;27;0
1299;yes;улица Маяковского;81;19;19;0
1300;apartments;улица Маяковского;108;13;13;0
1301;apartments;улица Маяковского;85/1;16;16;0
1302;apartments;улица Маяковского;87/2;4;4;0
1303;yes;улица Маяковского;108/1;14;14;0
1304;yes;улица Маяковского;77/2;23;23;0
1305;apartments;улица Маяковского;96;28;28;0
1306;apartments;улица Маяковского;87/1;3;3;0
1307;yes;улица Маяковского;79/1;2;2;0
1308;residential;улица Маяковского;75;10;10;0
1309;apartments;улица Маяковского;104/1;18;18;0
1310;residential;улица Маяковского;89;17;17;0
1311;yes;улица Маяковского;77/1;16;16;0
1312;apartments;улица Маяковского;87;20;20;0
1313;house;улица Маяковского;90;17;17;0
1314;house;улица Маяковского;86;21;21;0
1315;house;улица Маяковского;92;6;6;0
1316;apartments;улица Маяковского;102/1;14;14;0
1317;house;улица Маяковского;88;25;25;0
1318;yes;улица Маяковского;76;17;17;0
1319;house;улица Маяковского;72;9;9;0
1320;yes;улица Маяковского;70;30;30;0
1321;house;улица Маяковского;54;13;13;0
1322;house;улица Маяковского;58;27;27;0
1323;house;улица Маяковского;56;19;19;0
1324;house;улица Маяковского;46;2;2;0
1325;house;улица Маяковского;42;25;25;0
1326;yes;улица Маяковского;52;8;8;0
